Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       03.08.25
Time:       20:19
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"C27","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","12.5760","21.3360","180","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","12.5760","21.3360","13.9760","21.3360","Fitted"
"C26","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","11.6840","17.7800","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","11.6840","17.7800","10.2840","17.7800","Fitted"
"C25","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","20.1930","25.0190","180","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","20.1930","25.0190","21.5930","25.0190","Fitted"
"C24","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","20.1930","21.4630","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","20.1930","21.4630","18.7930","21.4630","Fitted"
"C23","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","20.3200","4.0640","180","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","20.3200","4.0640","21.7200","4.0640","Fitted"
"C22","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","20.3200","0.5080","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","20.3200","0.5080","18.9200","0.5080","Fitted"
"C21","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","12.7000","0.5080","0","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","12.7000","0.5080","11.3000","0.5080","Fitted"
"C20","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","11.6840","7.6200","180","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","11.6840","7.6200","13.0840","7.6200","Fitted"
"C19","22uF","TopLayer","CAP_1210","Chip Capacitor, 2-Leads, Body 3.20x2.50mm, IPC Medium Density","12.7030","3.9370","180","22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric)","2.8000","12.7030","3.9370","14.1030","3.9370","Fitted"
"C18","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","18.2880","7.6200","180","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","18.2880","7.6200","19.0880","7.6200","Fitted"
"C17","100nf","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","18.2880","17.7800","180","0.1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","18.2880","17.7800","19.0880","17.7800","Fitted"
"C16","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","52.9590","25.7810","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","52.9590","25.7810","52.9590","24.3310","Fitted"
